,01_95stain1-120716_S1_merged_R1.fastq.gz.fq.gzAligned.sortedByCoord.out.down_sampled
ENSG00000075914.12,55
ENSG00000075945.12,14
ENSG00000075975.15,90
ENSG00000076003.4,76
ENSG00000076043.9,165
ENSG00000076053.10,103
ENSG00000076108.11,46
ENSG00000076242.14,78
ENSG00000076382.16,24
ENSG00000076513.16,22
ENSG00000076555.15,1
ENSG00000076685.18,3
ENSG00000076706.14,1
ENSG00000076864.19,3
ENSG00000076928.17,7
ENSG00000076944.14,46
ENSG00000077092.18,5
ENSG00000077097.13,73
ENSG00000077147.14,40
ENSG00000077150.17,22
ENSG00000077152.9,729
ENSG00000077232.16,64
ENSG00000077235.17,35
ENSG00000077254.14,54
ENSG00000077312.8,67
ENSG00000077327.15,39
ENSG00000077348.8,177
ENSG00000077380.15,33
ENSG00000077458.12,1
ENSG00000077549.17,130
ENSG00000077684.15,36
ENSG00000077713.18,9
ENSG00000077721.15,253
ENSG00000078061.12,9
ENSG00000078070.11,46
ENSG00000078140.13,188
ENSG00000078142.11,31
ENSG00000078177.13,2
ENSG00000078246.15,12
ENSG00000078269.13,7
ENSG00000078304.19,309
ENSG00000078369.17,127
ENSG00000078596.10,80
ENSG00000078618.19,172
ENSG00000078668.13,149
ENSG00000078674.17,56
ENSG00000078687.16,24
ENSG00000078747.12,23
ENSG00000078808.16,129
ENSG00000078902.15,46
ENSG00000078967.12,64
ENSG00000079134.11,77
ENSG00000079150.17,11
ENSG00000079156.16,14
ENSG00000079246.15,173
ENSG00000079277.19,11
ENSG00000079332.14,217
ENSG00000079335.17,5
ENSG00000079387.13,11
ENSG00000079393.20,25
ENSG00000079459.12,332
ENSG00000079462.7,70
ENSG00000079482.12,23
ENSG00000079616.12,28
ENSG00000079691.16,1
ENSG00000079785.14,239
ENSG00000079805.16,43
ENSG00000079819.16,7
ENSG00000079950.13,84
ENSG00000079999.13,30
ENSG00000080189.14,69
ENSG00000080298.15,18
ENSG00000080345.17,7
ENSG00000080371.5,35
ENSG00000080608.9,16
ENSG00000080802.18,30
ENSG00000080815.18,25
ENSG00000080822.16,182
ENSG00000080823.21,37
ENSG00000080824.18,1157
ENSG00000080839.11,38
ENSG00000080845.17,19
ENSG00000080986.12,237
ENSG00000081014.10,24
ENSG00000081019.13,14
ENSG00000081026.18,4
ENSG00000081087.14,31
ENSG00000081154.11,542
ENSG00000081189.13,29
ENSG00000081237.18,149
ENSG00000081307.12,20
ENSG00000081377.16,24
ENSG00000081479.12,1
ENSG00000081721.11,129
ENSG00000081760.16,11
ENSG00000081791.8,76
ENSG00000081870.11,691
ENSG00000082014.16,18
ENSG00000082068.8,81
ENSG00000082074.15,1
ENSG00000082146.12,26
ENSG00000082153.17,48
ENSG00000082196.20,38
ENSG00000082213.17,46
ENSG00000082258.12,25
ENSG00000082269.16,6
ENSG00000082293.12,2
ENSG00000082512.14,21
ENSG00000082515.16,145
ENSG00000082516.8,1
ENSG00000082641.15,94
ENSG00000082805.19,20
ENSG00000082898.16,150
ENSG00000082996.19,56
ENSG00000083093.9,1
ENSG00000083099.10,80
ENSG00000083123.14,3
ENSG00000083312.17,66
ENSG00000083444.16,18
ENSG00000083457.11,39
ENSG00000083520.14,59
ENSG00000083535.15,15
ENSG00000083544.13,14
ENSG00000083635.7,12
ENSG00000083642.18,21
ENSG00000083720.12,75
ENSG00000083750.12,34
ENSG00000083838.15,11
ENSG00000083845.8,992
ENSG00000083937.8,71
ENSG00000084070.11,108
ENSG00000084072.16,323
ENSG00000084090.13,121
ENSG00000084092.6,30
ENSG00000084093.15,33
ENSG00000084207.15,1486
ENSG00000084234.16,166
ENSG00000084463.7,45
ENSG00000084623.11,431
ENSG00000084652.15,19
ENSG00000084676.15,59
ENSG00000084693.15,23
ENSG00000084733.10,98
ENSG00000084754.10,109
ENSG00000084764.10,21
ENSG00000085063.14,36
ENSG00000085117.11,20
ENSG00000085224.20,1
ENSG00000085231.13,2
ENSG00000085274.15,11
ENSG00000085415.15,117
ENSG00000085449.14,2
ENSG00000085491.15,105
ENSG00000085511.19,19
ENSG00000085514.15,37
ENSG00000085552.16,1
ENSG00000085644.13,1
ENSG00000085719.11,16
ENSG00000085721.12,1
ENSG00000085733.15,95
ENSG00000085760.14,170
ENSG00000085832.16,51
ENSG00000085840.12,74
ENSG00000085871.8,109
ENSG00000086015.20,41
ENSG00000086061.15,110
ENSG00000086062.12,5
ENSG00000086065.13,258
ENSG00000086102.18,12
ENSG00000086189.9,48
ENSG00000086200.16,11
ENSG00000086232.12,79
ENSG00000086300.15,98
ENSG00000086475.14,79
ENSG00000086504.15,73
ENSG00000086506.2,14
ENSG00000086598.10,548
ENSG00000086619.13,19
ENSG00000086666.18,92
ENSG00000086712.12,16
ENSG00000086730.16,18
ENSG00000086827.8,63
ENSG00000087053.18,5
ENSG00000087074.7,140
ENSG00000087077.11,51
ENSG00000087086.13,4523
ENSG00000087087.18,9
ENSG00000087088.19,13
ENSG00000087111.20,67
ENSG00000087152.15,2
ENSG00000087157.18,19
ENSG00000087191.12,68
ENSG00000087253.11,27
ENSG00000087263.16,74
ENSG00000087274.16,33
ENSG00000087299.11,32
ENSG00000087302.8,162
ENSG00000087338.4,3
ENSG00000087365.14,68
ENSG00000087448.9,45
ENSG00000087460.23,304
ENSG00000087470.17,42
ENSG00000087494.15,1
ENSG00000087502.17,56
ENSG00000087586.17,88
ENSG00000087589.16,19
ENSG00000087842.10,123
ENSG00000087995.15,18
ENSG00000088035.15,48
ENSG00000088179.8,1
ENSG00000088205.12,117
ENSG00000088247.15,30
ENSG00000088298.12,1
ENSG00000088305.18,36
ENSG00000088325.15,118
ENSG00000088356.5,107
ENSG00000088451.10,25
ENSG00000088682.13,2
ENSG00000088727.12,11
ENSG00000088766.11,19
ENSG00000088832.14,87
ENSG00000088833.17,94
ENSG00000088876.11,1
ENSG00000088888.17,33
ENSG00000088930.7,112
ENSG00000088970.15,14
ENSG00000088986.10,1079
ENSG00000089006.16,111
ENSG00000089009.15,229
ENSG00000089022.13,1
ENSG00000089041.16,43
ENSG00000089048.14,9
ENSG00000089053.12,157
ENSG00000089060.11,5
ENSG00000089063.14,211
ENSG00000089123.15,37
ENSG00000089154.10,2
ENSG00000089157.15,2877
ENSG00000089159.15,16
ENSG00000089177.17,23
ENSG00000089220.4,191
ENSG00000089234.15,37
ENSG00000089248.6,51
ENSG00000089280.18,27
ENSG00000089289.15,69
ENSG00000089327.14,403
ENSG00000089335.20,12
ENSG00000089351.14,24
ENSG00000089597.16,11
ENSG00000089682.16,2
ENSG00000089685.14,111
ENSG00000089693.10,208
ENSG00000089737.15,1
ENSG00000089775.11,1
ENSG00000089818.16,1
ENSG00000089820.15,14
ENSG00000090006.17,24
ENSG00000090013.9,334
ENSG00000090054.13,28
ENSG00000090060.17,69
ENSG00000090238.11,41
ENSG00000090263.15,186
ENSG00000090266.12,527
ENSG00000090273.13,210
ENSG00000090316.15,5
ENSG00000090339.8,33
ENSG00000090372.14,26
ENSG00000090432.6,48
ENSG00000090487.10,74
ENSG00000090520.10,147
ENSG00000090581.9,11
ENSG00000090615.12,43
ENSG00000090621.13,99
ENSG00000090686.15,99
ENSG00000090857.13,1
ENSG00000090861.15,138
ENSG00000090863.11,58
ENSG00000090889.11,45
ENSG00000090971.4,18
ENSG00000090989.17,1
ENSG00000091009.7,17
ENSG00000091039.16,1
ENSG00000091073.19,8
ENSG00000091127.13,33
ENSG00000091136.13,66
ENSG00000091140.12,334
ENSG00000091164.12,219
ENSG00000091317.7,94
ENSG00000091409.14,43
ENSG00000091436.16,1
ENSG00000091483.6,93
ENSG00000091490.10,20
ENSG00000091527.15,88
ENSG00000091542.8,41
ENSG00000091592.15,10
ENSG00000091651.8,83
ENSG00000091656.15,41
ENSG00000091732.15,12
ENSG00000091947.9,35
ENSG00000091986.15,55
ENSG00000092010.14,537
ENSG00000092094.10,66
ENSG00000092108.20,82
ENSG00000092148.12,7
ENSG00000092199.17,151
ENSG00000092200.12,38
ENSG00000092201.9,177
ENSG00000092208.16,75
ENSG00000092330.15,13
ENSG00000092439.13,3
ENSG00000092470.11,19
ENSG00000092531.9,64
ENSG00000092621.11,107
ENSG00000092820.17,79
ENSG00000092841.18,2068
ENSG00000092853.13,105
ENSG00000092929.11,26
ENSG00000092931.11,60
ENSG00000092964.16,34
ENSG00000093009.9,350
ENSG00000093010.11,546
ENSG00000093144.18,53
ENSG00000093167.17,89
ENSG00000093183.13,42
ENSG00000094804.9,426
ENSG00000094841.13,3
ENSG00000094880.10,44
ENSG00000094914.12,73
ENSG00000094916.13,102
ENSG00000094975.13,26
ENSG00000095002.12,133
ENSG00000095059.15,15
ENSG00000095139.13,80
ENSG00000095209.11,5
ENSG00000095261.13,63
ENSG00000095303.14,26
ENSG00000095319.14,3
ENSG00000095380.10,342
ENSG00000095485.16,1
ENSG00000095564.13,12
ENSG00000095713.13,1
ENSG00000095739.10,1
ENSG00000095787.21,63
ENSG00000095794.19,89
ENSG00000095906.16,28
ENSG00000095951.16,1
ENSG00000096060.14,22
ENSG00000096063.14,55
ENSG00000096092.5,28
ENSG00000096384.19,775
ENSG00000096401.7,171
ENSG00000096654.15,22
ENSG00000096717.11,14
ENSG00000096746.17,40
ENSG00000096872.15,64
ENSG00000096968.12,5
ENSG00000097007.17,13
ENSG00000097021.19,20
ENSG00000097033.14,116
ENSG00000097046.12,1
ENSG00000099194.5,303
ENSG00000099203.6,22
ENSG00000099219.13,26
ENSG00000099246.16,15
ENSG00000099251.14,1
ENSG00000099256.18,8
ENSG00000099330.8,54
ENSG00000099337.4,3
ENSG00000099341.11,303
ENSG00000099377.13,56
ENSG00000099385.11,1
ENSG00000099399.5,129
ENSG00000099622.13,122
ENSG00000099624.7,169
ENSG00000099783.11,18
ENSG00000099785.10,1
ENSG00000099795.6,200
ENSG00000099797.11,110
ENSG00000099800.7,76
ENSG00000099804.8,97
ENSG00000099817.11,221
ENSG00000099860.8,26
ENSG00000099875.14,17
ENSG00000099899.14,26
ENSG00000099901.16,1500
ENSG00000099917.17,5
ENSG00000099940.11,456
ENSG00000099942.12,82
ENSG00000099956.17,18
ENSG00000099958.14,4
ENSG00000099968.17,46
ENSG00000099992.15,18
ENSG00000099995.18,65
ENSG00000100023.17,11
ENSG00000100027.14,26
ENSG00000100028.11,533
ENSG00000100029.17,2
ENSG00000100030.14,325
ENSG00000100031.18,3
ENSG00000100056.11,52
ENSG00000100058.12,25
ENSG00000100075.9,815
ENSG00000100084.14,38
ENSG00000100092.20,1
ENSG00000100097.11,1271
ENSG00000100099.20,28
ENSG00000100106.19,10
ENSG00000100116.16,17
ENSG00000100124.12,33
ENSG00000100138.13,266
ENSG00000100139.13,3
ENSG00000100154.14,1
ENSG00000100162.14,64
ENSG00000100181.21,87
ENSG00000100196.10,90
ENSG00000100201.18,8
ENSG00000100206.9,50
ENSG00000100209.9,7
